Corridore,Squadra,Prezzo
Emilien JEANNIERE,Samu,1
Lorenzo GERMANI,,
Damiano CARUSO,,
Alexey LUTSENKO,,
Maxim VAN GILS,Gian,16
Mikel LANDA,Tom n,21
Fred WRIGHT,Tom N,15
Stefan KUNG,Cisco,20
Jefferson Alveiro CEPEDA,Tom N,1
Tao GEOGHEGAN HART,Peba,6
Tiesj BENOOT,Tom F,10
Ilan VAN WILDER,Lorengo,16
Jasper STUYVEN,Cisco,5
Ivo OLIVEIRA,Nele,1
Arne MARIT,Tom N,1
Sean QUINN,,
Mathieu VAN DER POEL,gino,171
Mauro SCHMID,Nele,23
Wilco KELDERMAN,Nele,1
Paul MAGNIER,bicio,70
Luca MOZZATO,Nele,1
Enric MAS,Lorengo,24
Kamiel BONNEU,,
Simone VELASCO,Nele,4
Mattia CATTANEO,,
Jonas VINGEGAARD,Samu,220
Martin MARCELLUSI,,
Ewen COSTIOU,Tom N,1
Jay VINE,Nele,48
Manuele TAROZZI,,
Torstein TRAEN,Nele,2
Oliver NAESEN,,
Joseph BLACKMORE,Peba,10
Louis VERVAEKE,,
Paul OURSELIN,,
Gregor MUHLBERGER,,
Max WALSCHEID,Cisco,1
Patrick KONRAD,,
Andrea VENDRAME,,
Laurenz REX,Lorengo,1
Brieuc ROLLAND,,
Georg ZIMMERMANN,Gino,1
Guillaume MARTIN,,
Edward PLANCKAERT,,
Michael LEONARD,,
Dries DE BONDT,,
Ethan VERNON,Gino,22
Dorian GODON,Cisco,5
Enzo PALENI,,
Michael STORER,Nele,40
Egan BERNAL,Cisco,21
Gerben THIJSSEN,,
Pablo CASTRILLO,Tom F,1
Isaac DEL TORO,Tom F,110
Nico DENZ,Nele,1
Arnaud DE LIE,Samu,60
Xandro MEURISSE,,
Soren KRAGH ANDERSEN,,
Sylvain MONIQUET,,
Rudy MOLARD,,
Antonio MORGADO,Nele,17
Bjoern KOERDT,,
Luke PLAPP,Gino,10
Michael VALGREN,cisco,1
Daniel Felipe MARTINEZ,Cisco,10
Patrick GAMPER,Tom N,1
Chris HAMILTON,,
Pascal EENKHOORN,Sambu,1
Romain GREGOIRE,Lorengo,60
Christophe LAPORTE,peba,14
Lewis ASKEY,Bicio,1
Matteo TRENTIN,Tom F,1
Nicola CONCI,,
Artem SHMIDT,,
Maikel ZIJLAARD,Bicio,2
Alessandro TONELLI,,
Kevin GENIETS,Tom N,1
Wout POELS,,
Finn FISHER-BLACK,samu,6
Jack HAIG,,
Harold Martin LOPEZ,,
Jordan JEGAT,bicio,1
Magnus CORT,Cisco,10
Matis LOUVEL,,
Jorgen NORDHAGEN,Bicio,31
Will BARTA,,
Lukas NERURKAR,Gian,3
Giovanni LONARDI,,
Julian ALAPHILIPPE,Sambu,11
Orluis AULAR,Cisco,12
Matej MOHORIC,Tom N,8
Pierre THIERRY,,
Mick VAN DIJKE,,
Bryan COQUARD,Tom N,3
James SHAW,,
Thomas PIDCOCK,Cisco,100
Pepijn REINDERINK,,
Joel NICOLAU,,
Corbin STRONG,Cisco,22
Dylan TEUNS,,
Markus HOELGAARD,,
Lennert VAN EETVELT,Bicio,25
Jarno WIDAR,Bicio,15
Aimè DE GENDT,,
Bart LEMMEN,,
Lennard KAMNA,Tom F,1
Soren WAERENSKJOLD,Loreng,5
Florian LIPOWITZ,Nele,81
Pelayo SANCHEZ,,
Alessandro VERRE,,
Christian SCARONI,Cisco,15
Jay HINDLEY,Tom F,31
Ben O'CONNOR,Tom N,29
Antonio TIBERI,Nele,37
Tobias Halland JOHANNESSEN,Peba,28
Magnus SHEFFIELD,Nele,22
Marc HIRSCHI,Peba,12
Taco VAN DER HOORN,,
Jan HIRT,,
Julien BERNARD,,
Carlos VERONA,Cisco,5
Marco FRIGO,Tom N,3
Clement BERTHET,,
Bob JUNGELS,Nele,1
Paul DOUBLE,,
Axel ZINGLE,Lorengo,3
Archie RYAN,Lorengo,3
Victor LAFAY,,
FIlippo GANNA,Sambu,21
Jon BARRENETXEA,,
Quinn SIMMONS,Gino,30
Connor SWIFT,,
Maximilian SCHACHMANN,Sambu,1
Harry SWEENY,Bicio,1
Robert STANNARD,,
Maxime DECOMBLE,Gino,4
Ben ZWIEHOFF,Tom F,1
Joao ALMEIDA,Cisco,116
Tim MERLIER,Peba,80
Remy ROCHAS,,
Alec SEGAERT,Lorengo,4
Rui OLIVEIRA,,
Victor CAMPENAERTS,,
Valentin MADOUAS,Bicio,13
Max KANTER,Tom F,5
Stephen WILLIAMS,Cisco,16
Gijs LEEMREIZE,,
Nicolas PRODHOMME,Lorengo,1
Brent VAN MOER,,
Jakob SODERQVIST,Lorengo,1
Ivan ROMEO,Cisco,20
Jenno BERCKMOES,Lorengo,1
Arjen LIVYNS,Bicio,1
Mathias VACEK,Lorengo,18
Alexis RENARD,Nele,1
